ExposureLevel,OutcomeRate,Interference
0,56.0361,With NT
0.05,62.22074,With NT
0.1,68.40318,With NT
0.15,74.58343,With NT
0.2,80.76151,With NT
0.25,86.93743,With NT
0.3,93.11122,With NT
0.35,99.2829,With NT
0.4,105.45247,With NT
0.45,111.61995,With NT
0.5,117.78537,With NT
0.55,123.94873,With NT
0.6,130.11005,With NT
0.65,136.26936,With NT
0.7,142.42666,With NT
0.75,148.58197,With NT
0.8,154.73531,With NT
0.85,160.8867,With NT
0.9,167.03614,With NT
0.95,173.18365,With NT
1,179.32926,With NT
0,76.51306,No NT
0.05,78.65729,No NT
0.1,80.85855,No NT
0.15,83.11607,No NT
0.2,85.42907,No NT
0.25,87.79679,No NT
0.3,90.21846,No NT
0.35,92.69334,No NT
0.4,95.22068,No NT
0.45,97.79975,No NT
0.5,100.42982,No NT
0.55,103.11017,No NT
0.6,105.84008,No NT
0.65,108.61885,No NT
0.7,111.44578,No NT
0.75,114.32018,No NT
0.8,117.24136,No NT
0.85,120.20864,No NT
0.9,123.22137,No NT
0.95,126.27886,No NT
1,129.38047,No NT
