ExposureLevel,OutcomeRate,Interference
0,17.93309,With NT
0.02,19.79539,With NT
0.04,21.65609,With NT
0.06,23.51519,With NT
0.08,25.37269,With NT
0.1,27.22859,With NT
0.12,29.08289,With NT
0.14,30.93559,With NT
0.16,32.78668,With NT
0.18,34.63616,With NT
0.2,36.48405,With NT
0.22,38.33032,With NT
0.24,40.17499,With NT
0.26,42.01805,With NT
0.28,43.8595,With NT
0.3,45.69934,With NT
0.32,47.53757,With NT
0.34,49.37418,With NT
0.36,51.20919,With NT
0.38,53.04258,With NT
0,13.034652,No NT
0.02,4.970311,No NT
0.04,-3.089513,No NT
0.06,-11.144812,No NT
0.08,-19.195581,No NT
0.1,-27.241812,No NT
0.12,-35.283497,No NT
0.14,-43.320631,No NT
0.16,-51.353205,No NT
0.18,-59.381213,No NT
0.2,-67.404649,No NT
0.22,-75.423503,No NT
0.24,-83.437771,No NT
0.26,-91.447445,No NT
0.28,-99.452517,No NT
0.3,-107.452981,No NT
0.32,-115.44883,No NT
0.34,-123.440056,No NT
0.36,-131.426653,No NT
0.38,-139.408613,No NT
