ExposureLevel,OutcomeRate,Interference
0,1.148863,With NT
0.05,1.213199,With NT
0.1,1.276955,With NT
0.15,1.340137,With NT
0.2,1.402751,With NT
0.25,1.4648,With NT
0.3,1.526292,With NT
0.35,1.58723,With NT
0.4,1.64762,With NT
0.45,1.707468,With NT
0.5,1.766778,With NT
0.55,1.825556,With NT
0.6,1.883806,With NT
0.65,1.941534,With NT
0.7,1.998744,With NT
0.75,2.055441,With NT
0.8,2.111631,With NT
0.85,2.167317,With NT
0.9,2.222505,With NT
0.95,2.2772,With NT
1,2.331406,With NT
0,1.858379,No NT
0.05,1.963581,No NT
0.1,2.069508,No NT
0.15,2.176153,No NT
0.2,2.283505,No NT
0.25,2.391556,No NT
0.3,2.500297,No NT
0.35,2.609717,No NT
0.4,2.71981,No NT
0.45,2.830565,No NT
0.5,2.941974,No NT
0.55,3.054028,No NT
0.6,3.16672,No NT
0.65,3.280039,No NT
0.7,3.393979,No NT
0.75,3.50853,No NT
0.8,3.623684,No NT
0.85,3.739434,No NT
0.9,3.85577,No NT
0.95,3.972686,No NT
1,4.090173,No NT
