ExposureLevel,OutcomeRate,Interference
0,1.159751,With DC
0.02,0.7194457,With DC
0.04,0.279731,With DC
0.06,-0.1593929,With DC
0.08,-0.5979255,With DC
0.1,-1.0358668,With DC
0.12,-1.4732162,With DC
0.14,-1.9099735,With DC
0.16,-2.3461383,With DC
0.18,-2.7817105,With DC
0.2,-3.2166896,With DC
0.22,-3.6510753,With DC
0.24,-4.0848674,With DC
0.26,-4.5180654,With DC
0.28,-4.9506692,With DC
0.3,-5.3826784,With DC
0.32,-5.8140927,With DC
0.34,-6.2449119,With DC
0.36,-6.6751355,With DC
0.38,-7.1047633,With DC
0,0.573455,No DC
0.02,1.629697,No DC
0.04,2.684798,No DC
0.06,3.738758,No DC
0.08,4.791576,No DC
0.1,5.843252,No DC
0.12,6.893784,No DC
0.14,7.943172,No DC
0.16,8.991416,No DC
0.18,10.038515,No DC
0.2,11.084468,No DC
0.22,12.129274,No DC
0.24,13.172933,No DC
0.26,14.215444,No DC
0.28,15.256807,No DC
0.3,16.297021,No DC
0.32,17.336085,No DC
0.34,18.373998,No DC
0.36,19.41076,No DC
0.38,20.446371,No DC
